Event	ID	Name			Wwise Object Path	Notes
	147436440	gunEmpty			\Default Work Unit\Player\General\gunEmpty	
	282606109	buttonStartGame			\Default Work Unit\UI\buttonStartGame	
	323245414	gunReload			\Default Work Unit\Player\General\gunReload	
	382555423	tikbalangHurt			\Default Work Unit\Enemies\Tikbalang\tikbalangHurt	
	404655026	goatDie			\Default Work Unit\Enemies\Ice Goat\goatDie	
	583027834	playerHealthLow			\Default Work Unit\Player\General\playerHealthLow	
	720364476	goatAttack			\Default Work Unit\Enemies\Ice Goat\goatAttack	
	734204211	sniperExplode			\Default Work Unit\Player\General\sniperExplode	
	838703051	golemDie			\Default Work Unit\Enemies\Amber Golem\golemDie	
	1609923659	lamiaAttack			\Default Work Unit\Enemies\Lamia\lamiaAttack	
	1839772676	playerEnergyLow			\Default Work Unit\Player\General\playerEnergyLow	
	2374849433	playerEnergyEmpty			\Default Work Unit\Player\General\playerEnergyEmpty	
	2408912248	tikbalangAttack			\Default Work Unit\Enemies\Tikbalang\tikbalangAttack	
	2437003014	tikbalangDie			\Default Work Unit\Enemies\Tikbalang\tikbalangDie	
	2445642675	goatHurt			\Default Work Unit\Enemies\Ice Goat\goatHurt	
	2525052962	playerDash			\Default Work Unit\Player\General\playerDash	
	2573158568	golemHurt			\Default Work Unit\Enemies\Amber Golem\golemHurt	
	2940614623	soulDrop			\Default Work Unit\Objects\soulDrop	
	3035572085	buttonHover			\Default Work Unit\UI\buttonHover	
	3060973567	lamiaDie			\Default Work Unit\Enemies\Lamia\lamiaDie	
	3112440327	golemShieldHit			\Default Work Unit\Enemies\Amber Golem\golemShieldHit	
	3194616450	gunShoot			\Default Work Unit\Player\General\gunShoot	
	3537581393	playerHurt			\Default Work Unit\Player\General\playerHurt	
	3739246548	soulPickUp			\Default Work Unit\Player\General\soulPickUp	
	3966601280	playerDie			\Default Work Unit\Player\General\playerDie	
	4051332235	buttonClick			\Default Work Unit\UI\buttonClick	
	4077017716	lamiaHurt			\Default Work Unit\Enemies\Lamia\lamiaHurt	
	4272317039	golemAttack			\Default Work Unit\Enemies\Amber Golem\golemAttack	

Switch Group	ID	Name			Wwise Object Path	Notes
	2107435045	weaponSwitch			\Default Work Unit\weaponSwitch	

Switch	ID	Name	Switch Group			Notes
	163030769	gunRifle	weaponSwitch			
	831777997	gunShotgun	weaponSwitch			
	998971168	gunSniper	weaponSwitch			
	2548468192	gunRevolver	weaponSwitch			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1240670792	Distance			\Default Work Unit\Distance	
	2426350174	RoFIncrease			\Default Work Unit\RoFIncrease	

Effect plug-ins	ID	Name	Type				Notes
	1071208984	Time Stretch (Custom)	Wwise Time Stretch			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4330535	Lamia Die	D:\Game Production\Unity Projects\wild-west\wild-west_WwiseProject\.cache\Windows\SFX\Lamia Die_D6AD3289.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Enemies\Enemies\Lamia\lamia\lamiaDie\Lamia Die		163416
	45659975	buttonStartGame	D:\Game Production\Unity Projects\wild-west\wild-west_WwiseProject\.cache\Windows\SFX\Whip Crack_28F106A5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Non-World\UI\UI\Buttons\buttonStartGame		205708
	63354751	shotgunPumpStart	D:\Game Production\Unity Projects\wild-west\wild-west_WwiseProject\.cache\Windows\SFX\Shotgun PumpStart_07FABA0E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Weapons\Reload\Reloading\gunReloadStart\shotgunPumpStart		211776
	92868043	revolverClickIn	D:\Game Production\Unity Projects\wild-west\wild-west_WwiseProject\.cache\Windows\SFX\RevolverClickIn_66489822.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Weapons\Reload\Reloading\gunReloadFinish\revolverClickIn		150036
	108690042	iceGoatAttack1	D:\Game Production\Unity Projects\wild-west\wild-west_WwiseProject\.cache\Windows\SFX\Ice Goat Attack1_C653923D.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Enemies\Enemies\Ice Goat\iceGoat\iceGoatAttack\iceGoatAttack1		145928
	120091524	buttonClick	D:\Game Production\Unity Projects\wild-west\wild-west_WwiseProject\.cache\Windows\SFX\Button Hover_32327EC5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Non-World\UI\UI\Buttons\buttonClick		35716
	148884185	Player Dash	D:\Game Production\Unity Projects\wild-west\wild-west_WwiseProject\.cache\Windows\SFX\Player Dash_63A6E44B.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Player Dash		60892
	176955351	soulReloadRevolver	D:\Game Production\Unity Projects\wild-west\wild-west_WwiseProject\.cache\Windows\SFX\Soul Reload_2588FD3D.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Weapons\Reload\soulReload\soulReloadRevolver		176496
	186090430	PlayerHurt3	D:\Game Production\Unity Projects\wild-west\wild-west_WwiseProject\.cache\Windows\SFX\PlayerHurt3_FFEAFE3A.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Health\playerHurt\PlayerHurt3		117392
